commune;nb_stations;velos_dispo;velos_electriques
Paris;935;11733;3890
Boulogne-Billancourt;29;568;108
Ivry-sur-Seine;18;366;94
Issy-les-Moulineaux;22;326;78
Vitry-sur-Seine;17;282;111
Créteil;17;246;141
Asnières-sur-Seine;13;234;106
Saint-Ouen-sur-Seine;10;210;110
Pantin;21;191;132
Clichy;13;188;47
Saint-Denis;19;182;97
Montreuil;23;164;119
Aubervilliers;13;153;81
Neuilly-sur-Seine;13;150;26
Champigny-sur-Marne;5;116;84
Gennevilliers;6;112;72
Maisons-Alfort;7;106;50
La Garenne-Colombes;7;102;74
Vincennes;10;97;47
Fontenay-sous-Bois;12;95;76
Levallois-Perret;11;94;17
Colombes;5;85;25
Argenteuil;7;83;65
Alfortville;5;83;39
Nanterre;8;73;48
Rueil-Malmaison;10;66;38
Courbevoie;7;64;29
Orly;3;64;25
Bobigny;5;61;35
Montrouge;13;60;44
Saint-Maurice;3;58;15
Malakoff;8;56;35
Villeneuve-la-Garenne;3;56;21
Bagneux;5;54;31
Rosny-sous-Bois;4;52;37
Saint-Mandé;6;52;30
Vanves;7;52;20
Charenton-le-Pont;5;51;11
Suresnes;9;51;26
Choisy-le-Roi;3;47;23
Cachan;4;45;20
Gentilly;4;43;23
Sèvres;6;43;11
Nogent-sur-Marne;4;42;22
Villejuif;11;40;27
Bagnolet;8;40;38
Joinville-le-Pont;2;38;11
Meudon;5;37;10
Garches;5;36;28
La Courneuve;3;35;19
Bois-Colombes;2;34;19
Arcueil;4;33;22
Les Lilas;4;32;17
Chevilly-Larue;3;31;27
Bourg-la-Reine;3;29;12
Puteaux;3;27;11
Le Kremlin-Bicêtre;5;27;21
Sceaux;4;26;14
Romainville;6;25;25
Châtillon;6;24;17
Saint-Cloud;3;20;3
Thiais;3;19;9
L'Île-Saint-Denis;1;18;9
Fontenay-aux-Roses;4;17;12
Noisy-le-Sec;2;17;10
Clamart;3;16;13
Le Pré-Saint-Gervais;2;15;12
Ville-d'Avray;2;14;14
Chaville;3;3;3
